date,start,end
2024-07-01,08:30:00,10:30:00
2024-07-01,08:30:00,12:30:00
2024-07-01,09:30:00,10:30:00
2024-07-01,09:35:00,10:35:00
2024-07-01,10:40:00,11:40:00
2024-07-01,10:40:00,12:40:00
2024-07-01,11:45:00,12:45:00
2024-07-01,13:20:00,14:20:00
2024-07-01,13:20:00,14:50:00
2024-07-01,13:20:00,15:20:00
2024-07-01,14:00:00,15:30:00
2024-07-01,14:25:00,15:25:00
2024-07-01,14:30:00,16:30:00
2024-07-01,15:30:00,16:30:00
2024-07-01,17:10:00,19:10:00
2024-07-01,18:15:00,19:15:00
2024-07-01,19:20:00,21:20:00
2024-07-02,08:30:00,09:30:00
2024-07-02,08:30:00,10:30:00
2024-07-02,08:30:00,12:30:00
2024-07-02,09:00:00,10:00:00
2024-07-02,09:30:00,10:30:00
2024-07-02,09:35:00,10:35:00
2024-07-02,10:40:00,11:40:00
2024-07-02,10:40:00,12:40:00
2024-07-02,13:20:00,14:20:00
2024-07-02,13:20:00,15:20:00
2024-07-02,14:25:00,15:25:00
2024-07-02,14:30:00,16:30:00
2024-07-02,15:30:00,16:30:00
2024-07-02,17:10:00,18:10:00
2024-07-02,17:10:00,19:10:00
2024-07-02,18:15:00,19:15:00
2024-07-02,19:20:00,20:20:00
2024-07-02,19:20:00,21:20:00
2024-07-03,08:30:00,10:30:00
2024-07-03,08:30:00,12:30:00
2024-07-03,09:30:00,10:30:00
2024-07-03,09:35:00,10:35:00
2024-07-03,10:40:00,11:40:00
2024-07-03,10:40:00,12:40:00
2024-07-03,11:00:00,12:30:00
2024-07-03,13:20:00,14:20:00
2024-07-03,13:20:00,14:50:00
2024-07-03,13:20:00,15:20:00
2024-07-03,14:25:00,15:25:00
2024-07-03,15:30:00,16:30:00
2024-07-03,15:35:00,16:10:00
2024-07-03,17:10:00,18:10:00
2024-07-03,17:10:00,19:10:00
2024-07-03,18:15:00,19:15:00
2024-07-03,19:20:00,21:20:00
2024-07-03,20:25:00,21:25:00
2024-07-04,08:30:00,10:30:00
2024-07-04,08:30:00,12:30:00
2024-07-04,09:00:00,10:00:00
2024-07-04,09:30:00,10:30:00
2024-07-04,09:35:00,10:35:00
2024-07-04,10:40:00,11:40:00
2024-07-04,10:40:00,12:40:00
2024-07-04,11:30:00,12:30:00
2024-07-04,11:45:00,12:45:00
2024-07-04,13:20:00,14:20:00
2024-07-04,13:20:00,15:20:00
2024-07-04,14:25:00,15:25:00
2024-07-04,15:30:00,16:30:00
2024-07-06,12:15:00,13:15:00
2024-07-06,12:15:00,14:15:00
2024-07-06,13:20:00,14:20:00
2024-07-06,14:25:00,15:25:00
2024-07-06,14:25:00,16:25:00
2024-07-06,15:30:00,16:30:00
2024-07-06,17:10:00,19:10:00
2024-07-06,19:20:00,20:20:00
2024-07-07,08:30:00,10:30:00
2024-07-07,08:30:00,12:30:00
2024-07-07,09:00:00,10:00:00
2024-07-07,09:30:00,10:30:00
2024-07-07,09:35:00,10:35:00
2024-07-07,10:40:00,11:40:00
2024-07-07,10:40:00,12:40:00
2024-07-07,11:45:00,12:45:00
2024-07-07,13:20:00,14:20:00
2024-07-07,13:20:00,15:20:00
2024-07-07,14:25:00,15:25:00
2024-07-07,14:25:00,16:25:00
2024-07-07,14:30:00,16:30:00
2024-07-07,15:30:00,16:30:00
2024-07-07,17:10:00,18:10:00
2024-07-07,17:10:00,19:10:00
2024-07-07,18:15:00,19:15:00
2024-07-07,19:20:00,21:20:00
2024-07-08,08:30:00,10:30:00
2024-07-08,08:30:00,12:30:00
2024-07-08,09:30:00,10:30:00
2024-07-08,09:35:00,10:25:00
2024-07-08,09:35:00,10:35:00
2024-07-08,10:40:00,11:40:00
2024-07-08,10:40:00,12:40:00
2024-07-08,11:45:00,12:45:00
2024-07-08,13:20:00,14:20:00
2024-07-08,13:20:00,14:50:00
2024-07-08,13:20:00,15:20:00
2024-07-08,14:00:00,15:30:00
2024-07-08,14:25:00,15:25:00
2024-07-08,14:30:00,16:30:00
2024-07-08,14:50:00,15:25:00
2024-07-08,15:30:00,16:30:00
2024-07-08,15:55:00,16:25:00
2024-07-08,17:10:00,18:10:00
2024-07-08,17:10:00,19:10:00
2024-07-08,18:15:00,19:15:00
2024-07-08,19:20:00,21:20:00
2024-07-09,08:30:00,09:30:00
2024-07-09,08:30:00,10:30:00
2024-07-09,08:30:00,12:30:00
2024-07-09,09:00:00,10:00:00
2024-07-09,09:30:00,10:30:00
2024-07-09,09:35:00,10:05:00
2024-07-09,09:35:00,10:35:00
2024-07-09,10:40:00,11:40:00
2024-07-09,10:40:00,12:40:00
2024-07-09,11:45:00,12:45:00
2024-07-09,13:20:00,14:20:00
2024-07-09,13:20:00,15:20:00
2024-07-09,14:20:00,14:55:00
2024-07-09,14:25:00,15:25:00
2024-07-09,14:30:00,16:30:00
2024-07-09,15:30:00,16:30:00
2024-07-09,17:10:00,18:10:00
2024-07-09,17:10:00,19:10:00
